Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP00068,Finance,30,60697,9,48.1,73,No
EMP00069,Sales,34,115111,20,55.6,96,Yes
EMP00070,Support,37,143664,1,32.8,32,No
EMP00071,Operations,38,30778,0,40.0,29,No
EMP00072,Marketing,37,46178,14,46.6,72,No
EMP00073,IT,21,39663,2,58.4,69,No
EMP00074,Sales,55,29722,11,47.5,58,No
EMP00075,Support,29,30482,9,40.9,72,No
EMP00076,Operations,23,142823,11,36.3,50,No
EMP00077,Marketing,27,71357,17,56.5,88,Yes
EMP00078,Support,30,146341,7,55.9,79,No
EMP00079,Finance,32,140528,13,30.7,64,No
EMP00080,Operations,47,130150,7,38.0,62,No
EMP00081,IT,27,75140,1,55.8,49,No
EMP00082,IT,50,70830,9,54.6,84,Yes
EMP00083,Support,35,28101,6,42.0,47,No
EMP00084,Sales,25,126361,8,40.5,57,No
EMP00085,IT,55,68404,0,33.5,26,No
EMP00086,Finance,58,59795,1,33.3,33,No
EMP00087,Sales,41,82199,19,59.5,85,Yes
EMP00088,HR,57,49914,8,31.3,45,No
EMP00089,Operations,54,146316,17,50.6,99,Yes
EMP00090,Finance,33,72739,13,32.1,64,No
EMP00091,Marketing,60,66145,3,51.6,51,No
EMP00092,Finance,40,112410,13,39.8,72,No
EMP00093,Sales,56,41683,6,42.6,69,No
EMP00094,Support,32,105676,18,39.0,77,Yes
EMP00095,Marketing,21,64829,9,36.3,64,No
EMP00096,Operations,59,110813,10,43.9,62,No
EMP00097,Support,34,92000,15,53.8,98,Yes
EMP00098,Operations,31,111356,2,38.5,48,No
EMP00099,IT,60,68933,2,54.6,67,No
EMP00100,IT,40,54444,6,34.4,32,No
EMP00101,Operations,51,105120,2,43.7,60,No
EMP00102,IT,57,50485,12,44.8,60,No
EMP00103,IT,21,142002,3,53.4,51,No
EMP00104,Support,54,85889,1,46.7,62,No
EMP00105,Marketing,28,84829,4,54.0,68,No
EMP00106,Sales,56,103047,10,58.5,91,Yes
EMP00107,Marketing,60,131824,16,42.8,88,Yes
EMP00108,Sales,49,142598,5,52.3,62,No
EMP00109,Support,37,123536,7,55.2,62,No
EMP00110,HR,54,88517,20,37.2,76,Yes
EMP00111,Marketing,39,55735,8,40.1,69,No
EMP00112,IT,26,43136,4,36.9,51,No
EMP00113,Sales,34,33418,13,42.2,70,No
EMP00114,Support,47,33161,6,55.0,64,No
EMP00115,Marketing,58,149002,0,55.7,64,No
EMP00116,Support,45,87518,0,58.3,52,No
EMP00117,Marketing,45,136863,13,46.1,80,Yes
EMP00118,Sales,59,142677,7,44.6,51,No
EMP00119,Support,52,28804,12,40.1,70,No
EMP00120,IT,46,119919,5,55.2,79,No
EMP00121,Marketing,60,95008,0,57.2,60,No
EMP00122,Sales,22,36003,20,42.9,94,Yes
EMP00123,Sales,32,31590,8,41.4,48,No
EMP00124,Support,41,69236,12,38.3,77,Yes
EMP00125,Marketing,47,58065,2,44.1,56,No
EMP00126,Support,24,149770,11,36.7,45,No
EMP00127,Support,23,123858,0,58.5,49,No
EMP00128,Operations,22,106439,4,37.2,45,No
EMP00129,Support,28,98920,6,44.0,49,No
EMP00130,Operations,44,46992,19,48.2,94,Yes
EMP00131,Marketing,28,126946,5,58.9,56,No
EMP00132,Sales,22,146751,9,47.3,79,Yes
EMP00133,Support,46,148400,6,32.3,51,No
EMP00134,Support,36,38356,9,55.5,77,Yes
EMP00135,Marketing,28,129363,18,53.5,85,Yes
EMP00136,Finance,48,111706,11,32.1,59,No
EMP00137,Sales,21,136355,13,54.7,68,No
EMP00138,IT,44,108307,14,51.2,77,Yes
EMP00139,Marketing,54,110256,8,48.5,78,Yes
EMP00140,Finance,51,85931,13,54.8,83,Yes
EMP00141,Finance,41,136635,7,54.9,55,No
EMP00142,Sales,49,56963,14,47.1,81,Yes
EMP00143,Sales,42,28761,15,55.5,75,Yes
EMP00144,Marketing,34,71507,8,40.2,69,No
EMP00145,HR,38,97848,0,45.5,36,No
EMP00146,IT,36,119381,13,44.7,79,Yes
EMP00147,HR,51,109659,15,43.4,58,No
EMP00148,Operations,39,54045,12,50.8,68,No
EMP00149,Sales,58,73368,15,46.6,72,No
EMP00150,Finance,56,68357,11,51.1,66,No
EMP00151,HR,37,55217,3,51.6,52,No
EMP00152,Sales,55,149633,5,35.7,53,No
EMP00153,Marketing,38,119972,18,59.3,96,Yes
EMP00154,IT,39,38176,6,38.9,46,No
EMP00155,HR,40,26854,17,33.8,53,No
EMP00156,Sales,56,63290,4,49.1,66,No
EMP00157,Sales,27,139389,0,47.2,47,No
EMP00158,Support,49,69657,5,59.0,62,No
EMP00159,Marketing,51,39953,2,42.0,33,No
EMP00160,Finance,24,44887,4,54.3,77,No
EMP00161,Marketing,26,57530,3,46.7,50,No
EMP00162,Sales,59,128643,19,36.8,75,Yes
EMP00163,Sales,49,144079,14,38.9,69,No
EMP00164,Operations,40,99531,19,31.8,84,Yes
EMP00165,Operations,27,149202,6,48.8,53,No
EMP00166,IT,26,45585,7,35.2,36,No
EMP00167,Finance,21,78545,14,50.7,78,Yes
EMP00168,Support,23,55340,9,51.2,76,Yes
EMP00169,Support,50,34329,7,57.7,81,No
EMP00170,IT,58,111662,6,42.8,56,No
EMP00171,HR,30,144067,8,54.8,57,No
EMP00172,Marketing,31,128891,9,47.9,76,Yes
EMP00173,Operations,39,82560,3,44.1,44,No
EMP00174,Sales,46,148558,8,45.0,61,No
EMP00175,Finance,26,103385,1,56.7,66,No
EMP00176,Operations,59,57816,0,32.7,47,No
EMP00177,Support,57,101955,0,60.0,66,No
EMP00178,Sales,38,100529,1,52.9,44,No
EMP00179,Marketing,54,110394,14,57.5,75,Yes
EMP00180,Finance,48,108202,15,59.1,89,Yes
EMP00181,IT,47,68687,10,50.1,82,Yes
EMP00182,Sales,42,78955,15,38.6,83,Yes
EMP00183,Finance,56,29809,14,32.6,53,No
EMP00184,HR,28,126259,12,55.9,90,Yes
EMP00185,Finance,55,85552,13,31.6,58,No
EMP00186,HR,60,124148,15,48.8,87,Yes
EMP00187,Sales,34,60003,17,33.9,61,No
EMP00188,Support,52,40915,0,59.2,63,No
EMP00189,Marketing,36,118032,5,39.3,34,No
EMP00190,HR,47,37217,7,59.8,87,No
EMP00191,Sales,50,149133,3,49.4,44,No
EMP00192,Sales,39,91698,8,42.5,58,No
EMP00193,Marketing,36,84871,17,34.3,59,No
EMP00194,Support,53,122818,4,55.9,56,No
EMP00195,Finance,47,69548,16,38.0,55,No
EMP00196,Sales,40,134769,18,47.4,89,Yes
EMP00197,Marketing,30,83529,17,44.5,73,No
EMP00198,IT,55,74441,14,58.0,98,Yes
EMP00199,Sales,36,99946,12,37.0,70,No
EMP00200,Sales,23,66704,15,51.2,91,Yes
EMP00201,HR,45,111991,20,59.4,99,Yes
EMP00202,Support,29,90836,18,40.0,64,No
EMP00203,Operations,49,38069,16,57.3,74,No
EMP00204,Sales,30,78736,20,59.1,86,Yes
EMP00205,HR,37,69375,19,50.8,93,Yes
EMP00206,Operations,42,136718,17,41.4,70,No
EMP00207,IT,52,139344,17,31.1,52,No
EMP00208,Support,39,54817,2,43.0,35,No
EMP00209,HR,27,83153,5,50.8,73,No
EMP00210,Sales,23,67516,1,38.8,36,No
EMP00211,Support,30,57007,16,42.4,80,Yes
EMP00212,Sales,32,47280,5,32.4,54,No
EMP00213,IT,60,114539,7,44.9,61,No
EMP00214,Operations,35,85443,20,37.6,70,No
EMP00215,Marketing,21,142821,14,57.0,91,Yes
EMP00216,Finance,31,34681,14,58.4,89,Yes
EMP00217,IT,48,115480,8,43.7,53,No
EMP00218,Marketing,45,136848,15,33.2,60,No
EMP00219,HR,43,100341,9,59.8,71,No
EMP00220,Support,46,60976,0,47.0,53,No
EMP00221,Finance,24,144356,19,52.4,100,Yes
EMP00222,Marketing,35,104569,11,36.6,49,No
EMP00223,Operations,37,113835,4,48.8,69,No
EMP00224,Operations,23,65492,14,31.0,55,No
EMP00225,IT,29,36813,9,39.8,55,No
EMP00226,Marketing,33,42322,17,56.3,86,Yes
EMP00227,Support,53,144732,8,54.9,63,No
EMP00228,Support,51,130708,9,52.4,65,No
EMP00229,IT,28,86385,2,34.2,53,No
EMP00230,Sales,46,135853,17,41.0,85,Yes
EMP00231,Operations,21,59663,17,33.7,63,No
EMP00232,Finance,37,101619,12,54.7,93,Yes
EMP00233,Marketing,27,113452,7,44.1,62,No
EMP00234,Operations,41,144964,19,36.6,61,No
EMP00235,IT,50,144195,9,49.5,55,No
EMP00236,HR,23,149028,1,39.1,41,No
EMP00237,Finance,27,55775,17,34.1,67,No
EMP00238,Sales,55,79935,18,52.3,77,Yes
EMP00239,Finance,27,134273,15,48.5,93,Yes
EMP00240,IT,23,115476,11,36.5,57,No
EMP00241,Finance,44,38022,11,46.3,73,No
EMP00242,Support,24,77184,8,35.7,39,No
EMP00243,HR,50,37015,6,49.3,65,No
EMP00244,Support,24,128126,10,37.3,46,No
EMP00245,IT,57,51896,2,54.9,60,No
EMP00246,Support,58,53305,7,39.9,42,No
EMP00247,IT,59,25371,8,55.8,60,No
EMP00248,HR,55,57853,5,33.3,55,No
EMP00249,Marketing,29,26947,11,53.7,67,No
EMP00250,Operations,41,27068,5,38.0,37,No
EMP00251,Sales,47,93955,3,52.4,58,No
EMP00252,IT,44,92271,18,33.3,70,No
EMP00253,HR,60,30683,16,39.0,76,Yes
EMP00254,Sales,24,87781,12,42.8,54,No
EMP00255,HR,49,34632,2,39.7,32,No
EMP00256,Operations,29,61046,19,49.0,89,Yes
EMP00257,Marketing,41,74925,19,45.9,82,Yes
EMP00258,Support,59,81387,3,53.8,47,No
EMP00259,IT,56,119481,6,42.9,67,No
EMP00260,HR,47,69424,14,42.0,78,Yes
EMP00261,IT,41,80936,10,50.0,66,No
EMP00262,Sales,51,33799,2,55.0,46,No
EMP00263,HR,27,122594,11,54.4,78,Yes
EMP00264,Sales,58,98608,17,39.9,61,No
EMP00265,HR,43,139505,13,56.0,90,Yes
EMP00266,Marketing,39,103696,9,40.5,61,No
EMP00267,Finance,34,45280,15,36.7,54,No
EMP00268,IT,56,73176,3,52.9,61,No
EMP00269,Marketing,48,135776,17,59.2,100,Yes
EMP00270,Operations,60,113470,20,46.7,90,Yes
EMP00271,Finance,38,28794,5,38.2,57,No
EMP00272,Marketing,42,71009,0,35.4,24,No
EMP00273,HR,46,34120,4,52.2,45,No
EMP00274,IT,54,53197,12,42.6,61,No
EMP00275,Marketing,44,65846,10,53.3,76,Yes
EMP00276,Marketing,26,140781,1,34.7,45,No
EMP00277,Sales,24,113338,2,38.2,48,No
EMP00278,Support,52,104570,14,42.4,61,No
EMP00279,Operations,53,39918,11,42.9,58,No
EMP00280,IT,58,88783,16,50.0,68,No
EMP00281,IT,46,103554,1,30.2,26,No
EMP00282,HR,29,125160,8,38.7,42,No
EMP00283,Marketing,52,122912,13,35.3,58,No
EMP00284,Finance,35,90570,17,55.0,99,Yes
EMP00285,HR,25,77044,1,43.1,44,No
EMP00286,Operations,41,100465,13,47.2,80,Yes
EMP00287,Finance,47,62947,3,42.2,63,No
EMP00288,Finance,31,130030,19,43.8,88,Yes
EMP00289,Sales,26,82240,3,37.3,46,No
EMP00290,Finance,54,35308,12,56.1,88,Yes
EMP00291,HR,35,68655,5,32.3,47,No
EMP00292,Finance,54,91840,6,57.2,65,No
EMP00293,IT,30,55968,3,34.4,31,No
EMP00294,Support,59,45036,20,32.3,87,Yes
EMP00295,Operations,52,85811,18,52.8,87,Yes
EMP00296,Support,57,109278,20,59.6,94,Yes
EMP00297,Operations,41,44786,14,32.0,59,No
EMP00298,Marketing,40,129376,8,47.7,59,No
EMP00299,Finance,25,65685,14,43.6,57,No
EMP00300,HR,39,35057,20,55.9,100,Yes
EMP00301,Marketing,60,102867,16,41.5,76,Yes
EMP00302,Marketing,23,83947,18,49.6,80,Yes
EMP00303,HR,51,90715,4,58.7,65,No
EMP00304,HR,42,118626,2,45.1,39,No
EMP00305,Marketing,36,117749,14,59.7,88,Yes
EMP00306,Sales,60,45807,11,41.2,57,No
EMP00307,Support,47,126510,10,50.4,56,No
EMP00308,Sales,42,33639,10,32.8,58,No
EMP00309,HR,39,58029,19,56.2,89,Yes
EMP00310,Operations,58,111980,4,57.5,59,No
EMP00311,Finance,46,41901,19,51.3,76,Yes
EMP00312,IT,56,74372,20,53.7,100,Yes
EMP00313,Finance,54,37249,20,50.1,91,Yes
EMP00314,Finance,22,72526,9,35.4,44,No
EMP00315,HR,52,50166,7,60.0,63,No
EMP00316,Support,39,135680,3,45.2,53,No
EMP00317,IT,54,29947,10,56.3,80,Yes
EMP00318,Operations,59,74377,4,34.9,53,No
EMP00319,Sales,60,131042,5,51.6,47,No
EMP00320,Finance,44,113652,7,59.1,77,No
EMP00321,Support,49,55671,17,37.2,86,Yes
EMP00322,Marketing,51,143485,6,41.0,68,No
EMP00323,Marketing,49,85513,9,53.3,72,No
EMP00324,Support,47,46241,6,54.0,55,No
EMP00325,Marketing,37,31839,20,44.4,80,Yes
EMP00326,HR,27,118244,16,55.5,81,Yes
EMP00327,Support,31,60755,14,57.2,74,No
EMP00328,Finance,48,37021,7,54.5,81,No
EMP00329,IT,22,79381,1,41.9,39,No
EMP00330,HR,45,35696,11,36.7,53,No
EMP00331,Support,42,128727,4,34.1,36,No
EMP00332,Sales,51,116235,4,52.8,60,No
EMP00333,Support,60,25688,2,30.6,25,No
EMP00334,Support,30,96932,19,45.8,71,No
EMP00335,Sales,39,56147,9,33.7,43,No
EMP00336,Sales,60,84914,2,33.3,50,No
EMP00337,IT,59,95261,0,49.0,52,No
EMP00338,IT,30,63177,13,30.0,52,No
EMP00339,Marketing,57,79600,5,49.9,46,No
EMP00340,Marketing,44,33870,16,46.3,88,Yes
EMP00341,Operations,56,27665,12,56.2,66,No
EMP00342,Support,45,73929,8,52.4,64,No
EMP00343,HR,25,70193,7,52.0,71,No
EMP00344,Marketing,58,121362,10,34.0,50,No
EMP00345,Operations,42,131628,20,35.3,84,Yes
EMP00346,IT,50,116146,15,49.0,89,Yes
EMP00347,HR,25,118853,14,31.1,50,No
EMP00348,Marketing,33,141102,1,39.5,35,No
EMP00349,Support,46,131876,17,44.2,64,No
EMP00350,Support,33,62501,11,55.9,63,No
EMP00351,Sales,42,60811,3,54.0,58,No
EMP00352,Sales,49,142261,12,40.2,54,No
EMP00353,Operations,52,73148,16,38.0,57,No
EMP00354,IT,48,35345,13,48.1,85,Yes
EMP00355,Operations,55,63504,10,33.1,48,No
EMP00356,IT,39,65173,14,48.1,74,No
EMP00357,Finance,49,71077,14,31.3,71,No
EMP00358,HR,60,82008,8,49.2,75,Yes
EMP00359,Support,25,112973,20,42.2,83,Yes
EMP00360,Operations,31,149884,0,34.3,38,No
EMP00361,Operations,49,29561,4,32.0,49,No
EMP00362,Marketing,44,72467,12,58.5,68,No
EMP00363,Sales,30,114006,14,58.5,82,Yes
EMP00364,Finance,25,100225,4,45.9,50,No
EMP00365,Sales,38,57717,3,30.8,26,No
EMP00366,Finance,54,75723,17,33.5,76,Yes
EMP00367,Sales,49,53124,19,38.6,90,Yes
EMP00368,IT,33,41074,4,55.6,62,No
EMP00369,HR,49,36506,10,50.0,77,Yes
EMP00370,IT,56,96063,9,56.7,86,Yes
EMP00371,IT,32,129031,11,45.3,55,No
EMP00372,Marketing,29,56029,15,30.8,62,No
EMP00373,HR,44,86263,17,33.9,80,Yes
EMP00374,Sales,25,65539,12,60.0,92,Yes
EMP00375,IT,54,78843,13,54.7,67,No
EMP00376,Marketing,41,109192,2,43.5,53,No
EMP00377,Support,43,41821,17,49.2,73,No
EMP00378,Support,29,81704,16,57.3,75,Yes
EMP00379,Finance,28,92908,4,39.1,37,No
EMP00380,HR,35,70353,16,56.8,100,Yes
EMP00381,IT,37,50729,20,58.7,91,Yes
EMP00382,IT,40,105534,17,32.8,71,No
EMP00383,Marketing,58,148418,18,34.6,76,Yes
EMP00384,HR,59,69252,18,31.2,79,Yes
EMP00385,Operations,26,30958,20,53.1,86,Yes
EMP00386,HR,34,125526,18,42.5,83,Yes
EMP00387,Finance,52,141522,20,46.4,91,Yes
EMP00388,Operations,51,57096,12,38.9,49,No
EMP00389,IT,24,45719,14,42.5,69,No
EMP00390,Finance,42,104516,4,39.4,54,No
EMP00391,Marketing,43,77260,4,52.8,61,No
EMP00392,Sales,27,66827,7,44.0,51,No
EMP00393,Sales,36,43465,3,31.5,52,No
EMP00394,IT,60,79805,7,58.9,85,No
EMP00395,Support,41,147388,18,51.6,78,Yes
EMP00396,Finance,31,90308,16,44.0,89,Yes
EMP00397,Sales,52,28037,2,58.4,63,No
EMP00398,Finance,36,53199,18,40.6,62,No
EMP00399,Marketing,52,103317,20,50.2,84,Yes
EMP00400,Finance,21,136040,3,42.9,61,No
EMP00401,HR,44,125120,12,41.0,62,No
EMP00402,HR,57,98638,6,40.9,46,No
EMP00403,Support,45,91093,14,52.9,73,No
EMP00404,Sales,60,114181,19,33.6,59,No
EMP00405,Support,44,129188,10,46.7,62,No
EMP00406,HR,30,51090,19,45.3,84,Yes
EMP00407,Sales,23,30100,4,51.4,69,No
EMP00408,IT,54,84898,4,48.2,57,No
EMP00409,Marketing,41,147076,19,39.6,74,No
EMP00410,Marketing,40,102820,10,45.2,66,No
EMP00411,HR,52,117895,18,39.0,86,Yes
EMP00412,Finance,44,68416,3,59.4,68,No
EMP00413,Support,22,103238,15,38.0,73,No
EMP00414,Sales,58,100711,7,51.6,68,No
EMP00415,Support,31,93712,20,51.6,100,Yes
EMP00416,Operations,45,44369,7,30.9,59,No
EMP00417,IT,28,50006,0,43.2,41,No
EMP00418,Marketing,47,115505,6,42.3,63,No
EMP00419,IT,51,139401,1,51.2,54,No
EMP00420,IT,56,67604,15,45.8,70,No
EMP00421,Operations,50,144553,17,40.3,70,No
EMP00422,Finance,37,104963,15,35.8,57,No
EMP00423,Support,56,64124,7,58.2,66,No
EMP00424,Finance,39,117392,6,50.7,62,No
EMP00425,Operations,51,70718,17,58.0,100,Yes
EMP00426,Sales,38,62721,3,47.2,55,No
EMP00427,IT,46,132266,11,58.6,90,Yes
EMP00428,Finance,39,30513,9,58.7,63,No
EMP00429,IT,49,110979,8,52.4,59,No
EMP00430,HR,55,60537,17,50.9,73,No
EMP00431,Operations,60,122110,18,37.2,59,No
EMP00432,Sales,54,54579,20,37.0,65,No
EMP00433,IT,42,119025,15,33.0,72,No
EMP00434,Sales,21,97135,5,42.2,66,No
EMP00435,Finance,51,110267,6,52.7,58,No
EMP00436,Operations,39,109659,1,57.2,46,No
EMP00437,HR,57,55437,17,52.2,98,Yes
EMP00438,Support,32,79773,5,58.0,54,No
EMP00439,Support,46,128279,15,35.6,73,No
EMP00440,Marketing,39,139916,1,30.3,35,No
EMP00441,Marketing,27,146694,10,38.5,63,No
EMP00442,Finance,54,89738,4,55.5,62,No
EMP00443,Sales,33,131012,3,39.9,53,No
EMP00444,Support,37,119188,5,30.4,35,No
EMP00445,Operations,39,99420,6,35.3,59,No
EMP00446,Sales,46,133395,13,45.5,58,No
EMP00447,IT,27,49219,4,44.3,66,No
EMP00448,Finance,21,59181,12,37.1,70,No
EMP00449,Finance,42,64576,18,51.7,72,No
EMP00450,Sales,44,115802,7,31.9,33,No
EMP00451,Operations,40,45934,12,50.6,88,Yes
EMP00452,Finance,40,115477,3,49.2,70,No
EMP00453,Sales,44,105560,7,36.6,39,No
EMP00454,Marketing,30,84634,19,41.2,86,Yes
EMP00455,IT,51,124267,17,54.1,99,Yes
EMP00456,Marketing,36,114173,19,56.2,81,Yes
EMP00457,HR,49,94228,11,32.3,57,No
EMP00458,Marketing,24,133629,17,57.1,82,Yes
EMP00459,Sales,55,44641,5,39.8,50,No
EMP00460,HR,28,114167,6,51.5,63,No
EMP00461,Sales,53,83390,1,43.6,46,No
EMP00462,Support,50,98912,1,46.8,54,No
EMP00463,HR,40,119801,0,41.9,52,No
EMP00464,Operations,34,100800,2,31.4,31,No
EMP00465,Sales,25,95931,1,58.0,47,No
EMP00466,Support,23,62629,13,35.4,50,No
EMP00467,Sales,47,74081,12,43.5,81,Yes
EMP00468,Finance,45,35518,17,34.0,80,Yes
EMP00469,Operations,28,48392,17,41.8,64,No
EMP00470,Sales,35,134421,0,52.7,46,No
EMP00471,IT,55,80591,17,41.4,67,No
EMP00472,Operations,50,70371,4,38.3,60,No
EMP00473,HR,28,29222,13,48.4,88,Yes
EMP00474,Sales,36,52011,2,33.0,23,No
EMP00475,Sales,59,113083,1,37.3,25,No
EMP00476,Support,49,55715,17,36.5,82,Yes
EMP00477,Support,24,43367,16,59.8,83,Yes
EMP00478,Support,57,66799,18,47.9,89,Yes
EMP00479,Marketing,41,56051,9,56.3,80,Yes
EMP00480,Marketing,35,79206,9,38.3,58,No
EMP00481,Finance,32,107050,13,46.7,58,No
EMP00482,Sales,45,127996,16,39.6,69,No
EMP00483,Sales,30,64306,12,35.5,61,No
EMP00484,IT,36,136324,7,39.0,60,No
EMP00485,Sales,50,144896,1,46.9,63,No
EMP00486,IT,56,94467,4,41.7,42,No
EMP00487,Finance,42,109765,2,57.7,73,No
EMP00488,Operations,26,95206,6,31.5,40,No
EMP00489,Support,59,104026,1,56.2,49,No
EMP00490,Support,58,119936,17,36.5,61,No
EMP00491,Operations,42,64739,0,36.4,27,No
EMP00492,Marketing,28,122894,15,57.4,94,Yes
EMP00493,Finance,34,76987,7,46.6,69,No
EMP00494,Finance,45,86112,17,49.5,77,Yes
EMP00495,Operations,44,92215,15,44.0,84,Yes
EMP00496,Finance,51,124828,10,57.4,73,No
EMP00497,IT,47,30992,18,55.9,99,Yes
EMP00498,Operations,22,59180,17,58.0,95,Yes
EMP00499,Sales,47,63691,4,35.9,35,No
EMP00500,Operations,57,134230,7,45.0,64,No
EMP00501,Operations,42,58728,15,59.0,94,Yes
EMP00502,IT,52,85401,5,52.0,58,No
EMP00503,Marketing,29,119412,17,44.6,92,Yes
EMP00504,Support,24,93674,1,55.2,44,No
EMP00505,Operations,24,125183,0,42.4,53,No
EMP00506,Sales,35,33908,4,30.3,39,No
EMP00507,Marketing,44,32923,19,49.1,100,Yes
EMP00508,Marketing,51,111413,15,30.5,62,No
EMP00509,Marketing,47,26553,0,45.9,38,No
EMP00510,Sales,39,27246,16,54.4,92,Yes
EMP00511,IT,32,39026,3,45.7,43,No
EMP00512,Support,60,94003,8,54.5,63,No
EMP00513,Marketing,46,35357,11,58.8,79,Yes
EMP00514,Support,36,116388,7,39.0,64,No
EMP00515,Sales,26,110686,20,52.8,79,Yes
EMP00516,HR,45,74436,17,44.3,83,Yes
EMP00517,Support,31,35837,15,55.4,90,Yes
EMP00518,HR,42,99167,3,56.8,76,No
EMP00519,HR,35,52710,18,44.3,66,No
EMP00520,IT,38,142874,17,46.9,66,No
EMP00521,Support,41,27052,6,47.6,68,No
EMP00522,IT,46,146749,2,39.0,46,No
EMP00523,Finance,57,134399,12,50.3,76,Yes
EMP00524,Operations,45,124039,4,53.7,68,No
EMP00525,IT,26,90639,11,31.6,51,No
EMP00526,Marketing,25,69642,19,53.1,100,Yes
EMP00527,Support,46,126391,10,30.9,43,No
EMP00528,Sales,49,89304,7,40.7,69,No
EMP00529,Support,48,49345,18,49.8,72,No
EMP00530,Finance,60,63715,7,51.4,52,No
EMP00531,Finance,30,74807,20,34.6,71,No
EMP00532,Sales,44,38965,2,30.2,28,No
EMP00533,IT,44,124791,8,33.1,36,No
EMP00534,HR,48,83830,17,46.6,78,Yes
EMP00535,Marketing,22,36746,11,46.6,72,No
EMP00536,Sales,41,138209,12,30.4,52,No
EMP00537,Marketing,26,120006,17,57.2,83,Yes
EMP00538,Finance,54,47227,12,35.1,52,No
EMP00539,Finance,38,89634,4,31.9,37,No
EMP00540,Finance,47,64289,15,53.5,79,Yes
EMP00541,IT,36,119489,20,44.9,88,Yes
EMP00542,Sales,50,39021,4,39.1,62,No
EMP00543,Finance,42,135311,19,41.4,91,Yes
EMP00544,Operations,49,68874,13,54.5,92,Yes
EMP00545,Operations,59,42842,9,39.6,72,No
EMP00546,Finance,33,87784,10,35.3,52,No
EMP00547,Support,39,121321,20,44.7,87,Yes
EMP00548,Sales,36,67714,12,38.4,72,No
EMP00549,IT,44,39927,18,36.0,74,No
